"parameter_id","category"
"ESLIM_007_001_008","Other"
"IMPC_ACS_035_001","Other"
"ESLIM_018_001_008","Other"
"ESLIM_015_001_017","Other"
"ESLIM_007_001_011","Other"
"ESLIM_019_001_002","Other"
"ESLIM_008_001_001","Other"
"M-G-P_013_001_008","Other"
"IMPC_ACS_033_001","Other"
"M-G-P_026_001_007","Other"
"IMPC_GEP_030_002","Other"
"ESLIM_011_001_009","Other"
"ESLIM_007_001_003","Other"
"JAXLA_CSD_012_001","Physical_Characteristics"
"IMPC_CSD_016_001","Physical_Characteristics"
"IMPC_CSD_037_001","Physical_Characteristics"
"IMPC_CSD_080_001","Physical_Characteristics"
"IMPC_CSD_029_001","Physical_Characteristics"
"IMPC_CSD_006_001","Physical_Characteristics"
"IMPC_CSD_033_001","Physical_Characteristics"
"IMPC_CSD_005_001","Physical_Characteristics"
"IMPC_CSD_041_002","Physical_Characteristics"
"IMPC_CSD_010_001","Physical_Characteristics"
"KMPCIP_CSD_005_001","Physical_Characteristics"
"IMPC_CSD_074_001","Physical_Characteristics"
"IMPC_CSD_077_001","Physical_Characteristics"
"KMPCLA_CSD_008_001","Physical_Characteristics"
"IMPC_CSD_015_001","Physical_Characteristics"
"IMPC_CSD_028_001","Physical_Characteristics"
"KMPCIP_CSD_008_001","Physical_Characteristics"
"JAXLA_CSD_078_001","Physical_Characteristics"
"KMPCLA_CSD_011_001","Physical_Characteristics"
"IMPC_CSD_007_001","Physical_Characteristics"
"IMPC_CSD_030_001","Physical_Characteristics"
"HRWLLA_CSD_036_001","Physical_Characteristics"
"IMPC_CSD_078_001","Physical_Characteristics"
"KMPCLA_CSD_005_001","Physical_Characteristics"
"JAXLA_CSD_007_001","Physical_Characteristics"
"IMPC_CSD_036_001","Physical_Characteristics"
"JAX_SLW_006_001","Sleep"
"JAX_SLW_007_001","Sleep"
"JAX_SLW_008_001","Sleep"
"JAX_SLW_013_001","Sleep"
"JAX_URI_004_001","Urianalysis"
"IMPC_EYE_066_001","Vision"
"IMPC_EYE_083_001","Vision"
"IMPC_EYE_010_001","Vision"
